STRATEGY_ID;NAME;SYS_NAME;CURRENCY_ALPHA_CODE;PAY_BANK;BANK_RACCOUNT;CUSTODY_ACCOUNT;BANK_RECEIVER_RACCOUNT;TRADE_ACCOUNT_RUR;TRADE_ACCOUNT_USD;SDU;MANAGED_BY;IS_DU;IS_IDU;IS_MANAGEABLE;QUALIFIED;PARTIAL_WITHDRAWAL;STATUS;Instance
1241;Индивидуальная;individual;USD;Alfa-Bank Moscow;40701840401600000208;36MC0250000000FMB;40701840101600000207;30414810000000000911;30414840300000000911;ИДУ;ИК;0;1;0;1;1;OPEN;main
28297;Альфа Эксперт;ALFA_EXPERT;RUB;АО «Альфа-Банк»;40701810101600000279;36MC0250000000FMB;40701810101600000279;30414810000000000911;30414840300000000911;ИДУ;ИК;0;1;0;0;1;OPEN;main
819186;Альфа Мастербонд. Доллары;master_bond_USD;USD;Alfa-Bank Moscow;40701840401600000208;36MC0250000000FMB;40701840101600000207;30414810000000000911;30414840300000000911;ИДУ;ИК;0;1;1;1;1;OPEN;main
917181;Альфа Структурный;Alfa Structure;RUB;ALFA-BANK;40701810101600000279;36MC0250000000FMB;40701810101600000279;30414810000000000911;30414840300000000911;ИДУ;ИК;0;1;0;1;1;OPEN;main
917183;Альфа Структурный. Доллары;Alfa Structure. USD;USD;Alfa-Bank Moscow;40701840401600000208;36MC0250000000FMB;40701840101600000207;30414810000000000911;30414840300000000911;ИДУ;ИК;0;1;0;1;1;OPEN;main
988779;Альфа Структурный 2.0;Alfa Structure 2.0;RUB;NULL;40701810101600000279;36MC0250000000FMB;40701810101600000279;30414810000000000911;30414840300000000911;ИДУ;ИК;0;1;0;1;1;OPEN;main
988877;Альфа Структурный 2.0. Доллары;Alfa Structure 2.0 USD;USD;Alfa-Bank Moscow;40701840401600000208;36MC0250000000FMB;40701840101600000207;30414810000000000911;30414840300000000911;ИДУ;ИК;0;1;0;1;1;OPEN;main
1080720;Альфа Еврооблигации 100. Доллары;eurobonds_USD_100;USD;"АО ""Альфа-Банк""";40701840401600000208;36MC0250000000FMB;40701840101600000207;30414810000000000911;30414840300000000911;ИДУ;ИК;0;1;1;1;1;OPEN;main
1134668;Альфа Облачные технологии. Доллары;Techno. USD;USD;"АО ""Альфа-Банк""";40701840401600000208;36MC0250000000FMB;40701840101600000207;30414810000000000911;30414840300000000911;CC;PM Equities;1;0;1;1;1;OPEN;main
1250581;Альфа Еврооблигации. Доллары 2.0;Eurobonds USD 2.0;USD;"АО ""Альфа-Банк""";40701840401600000208;36MC0250000000FMB;40701840101600000207;30414810000000000911;30414840300000000911;CC;PM Bonds;1;0;1;1;1;OPEN;main
1833257;Альфа Новые Имена;New Names;USD;"АО ""Альфа-Банк""";40701840401600000208;36MC0250000000FMB;40701840101600000207;30414810000000000911;30414840300000000911;ИДУ;ИК;0;1;0;1;1;OPEN;main
1877934;Альфа Технологии 100;Techno 100;USD;"АО ""Альфа-Банк""";40701840401600000208;36MC0250000000FMB;40701840101600000207;30414810000000000911;30414840300000000911;CC;PM Equities;1;0;1;0;1;OPEN;main
2842336;Альфа. БПИФ S&P 500;BPIF S&P 500;USD;"АО ""Альфа-Банк""";40701840401600000208;36MC0250000000FMB;40701840101600000207;30414810000000000911;30414840300000000911;CC;PM Equities;1;0;1;0;1;OPEN;main
6553427;Альфа Еврооблигации. Евро;Eurobonds. Euro;EUR;"АО ""Альфа-Банк""";40701978001600000088;36MC0250000000FMB;40701978701600000087;30414810000000000911;30414840300000000911;CC;PM Equities;1;0;1;1;1;OPEN;main
6626171;Альфа Казначей 4.0;Kaznachei 4.0;RUB;АО «Альфа-Банк»;40701810101600000279;36MC0250000000FMB;40701810101600000279;30414810000000000911;30414840300000000911;ИДУ;ИК;0;1;0;0;1;OPEN;main
6805341;Альфа Глобальные фонды;Global funds;USD;"АО ""Альфа-Банк""";NULL;36MC0250000000FMB;NULL;30414810000000000911;30414840300000000911;ИДУ;ИК;0;1;0;1;1;OPEN;main
7082839;Альфа Европа 600.Евро;BPIF_Europe_600;EUR;"АО ""Альфа-Банк""";40701978001600000088;36MC0250000000FMB;40701978701600000087;30414810000000000911;30414840300000000911;CC;PM Equities;1;0;1;0;1;OPEN;main
7785452;Альфа-Селект 3.0 Рантье. Евро;Afa Select 3.0 Rante. EURO;EUR;Alfa-Bank Moscow;40701978001600000088;36MC0250000000FMB;40701978701600000087;30414810000000000911;30414840300000000911;CC;DRPS;1;0;1;1;1;OPEN;main
7788720;Альфа-Селект 3.0 Рантье;Afa Select 3.0 Rante;RUB;"АО ""Альфа-Банк""";40701810101600000279;36MC0250000000FMB;40701810101600000279;30414810000000000911;30414840300000000911;CC;DRPS;1;0;1;1;1;OPEN;main
7789013;Альфа-Селект 3.0 Рантье. Доллары;Alfa Select 3.0 Rante. USD;USD;NULL;NULL;36MC0250000000FMB;NULL;30414810000000000911;30414840300000000911;CC;DRPS;1;0;1;1;1;OPEN;main
7789037;Альфа Гарант. Доллары;Alfa Garant. USD;USD;NULL;NULL;36MC0250000000FMB;NULL;30414810000000000911;30414840300000000911;CC;DRPS;1;0;1;1;0;OPEN;main
7815753;Альфа Биржевые фонды;Alfa Stock Funds;USD;NULL;NULL;36MC0250000000FMB;NULL;30414810000000000911;30414840300000000911;ИДУ;ИК;0;1;0;0;1;OPEN;main
8017379;Альфа Зеленые инвестиции;Green investment;USD;"АО ""Альфа-Банк""";40701840401600000208;36MC0250000000FMB;40701840101600000207;30414810000000000911;30414840300000000911;CC;PM Equities;1;0;1;1;1;OPEN;main
8444763;Альфа Высокодоходные облигации;Highprofit bonds;RUB;АО «Альфа-Банк»;40701810101600000279;36MC0250000000FMB;40701810101600000279;30414810000000000911;30414840300000000911;ИДУ;ИК;0;1;0;1;1;OPEN;main
9966747;Альфа денежный поток. Доллары 3.0;Cash flow. USD 3.0;USD;NULL;40701840401600000208;36MC0250000000FMB;40701840101600000207;30414810000000000911;30414840300000000911;CC;PM Bonds;1;0;1;0;0;OPEN;main
10195901;Альфа Управляемые Облигации;BONDSONLINE;RUB;АО «Альфа-Банк»;40701810602750000479;36MC0250000000FBO;40701810602750000479;30414810000000000911;NULL;CC;PM Bonds;1;0;1;0;1;OPEN;main
10777792;Альфа Мастербонд 2.0;Masterbond 2.0;USD;"АО ""Альфа-Банк""";40701840401600000208;36MC0250000000FMB;40701840101600000207;30414810000000000911;30414840300000000911;CC;PM Bonds;1;0;1;1;1;OPEN;main
10778462;Альфа Глобальные дивиденды 2.0;Global dividends 2.0;USD;Alfa-Bank Moscow;40701840401600000208;36MC0250000000FMB;40701840101600000207;30414810000000000911;30414840300000000911;CC;PM Equities;1;0;1;1;1;OPEN;main
10778520;Альфа Квант 2.0;Kvant 2.0;USD;АО «Альфа-Банк»;40701840401600000208;36MC0250000000FMB;40701840101600000207;30414810000000000911;30414840300000000911;CC;PM Equities;1;0;1;1;1;OPEN;main
10778554;Альфа Высокие Технологии 2.0;High Technologies 2.0;USD;"АО ""Альфа-Банк""";40701840101600000207;36MC0250000000FMB;40701840401600000208;30414810000000000911;30414840300000000911;CC;PM Equities;1;0;1;1;1;OPEN;main
16098242;Альфа Мировой эксперт;Mir_Expert_NEW;USD;Alfa-Bank Moscow;40701840401600000208;36MC0250000000FMB;40701840101600000207;30414810000000000911;30414840300000000911;ИДУ;ИК;0;1;0;1;1;OPEN;main
18801916;Альфа Мировые облигации;Alfa_Bonds_NEW;USD;Alfa-Bank Moscow;40701840401600000208;36MC0250000000FMB;40701840101600000207;30414810000000000911;30414840300000000911;ИДУ;ИК;0;1;0;1;1;OPEN;main
19687410;Альфа Комфортный доход;Comfort_income;USD;Alfa-Bank Moscow;40701840401600000208;36MC0250000000FMB;40701840101600000207;30414810000000000911;30414840300000000911;CC;DRPS;1;0;1;1;1;OPEN;main
20633108;Альфа Управляемые российские акции;URA;RUB;АО «Альфа-Банк»;40701810602750000479;36MC0250000000FBO;40701810602750000479;30414810000000000911;NULL;CC;PM Equities;1;0;1;0;0;OPEN;main
20897506;Альфа Китайские акции;China_shares;RUB;АО «Альфа-Банк»;40701810602750000479;36MC0250000000FBO;40701810602750000479;30414810000000000911;30414840300000000911;CC;PM Equities;1;0;1;0;1;OPEN;main
21406420;Альфа Pre-IPO-6;PreIPO6;USD;Alfa-Bank Moscow;40701840401600000208;36MC0250000000FMB;40701840101600000207;30414810000000000911;30414840300000000911;ИДУ;ИК;0;1;0;1;1;OPEN;main
36275687;VTB Альфа Мировой эксперт;VTB_Mir_Expert_NEW;USD;Alfa-Bank Moscow;40701840401600000208;36MC0250000000FMB;40701840101600000207;30414810000000000911;30414840300000000911;ИДУ;ИК;0;1;0;1;1;OPEN;main
