STRATEGY_ID;NAME;SYS_NAME;CURRENCY_ALPHA_CODE;PAY_BANK;BANK_RACCOUNT;CUSTODY_ACCOUNT;BANK_RECEIVER_RACCOUNT;TRADE_ACCOUNT_RUR;TRADE_ACCOUNT_USD;SDU;MANAGED_BY;IS_DU;IS_IDU;IS_MANAGEABLE;QUALIFIED;PARTIAL_WITHDRAWAL;STATUS;Instance
1241;Èíäèâèäóàëüíàÿ;individual;USD;Alfa-Bank Moscow;40701840401600000208;36MC0250000000FMB;40701840101600000207;30414810000000000911;30414840300000000911;ÈÄÓ;ÈÊ;0;1;0;1;1;OPEN;main
28297;Àëüôà Ýêñïåðò;ALFA_EXPERT;RUB;ÀÎ «Àëüôà-Áàíê»;40701810101600000279;36MC0250000000FMB;40701810101600000279;30414810000000000911;30414840300000000911;ÈÄÓ;ÈÊ;0;1;0;0;1;OPEN;main
819186;Àëüôà Ìàñòåðáîíä. Äîëëàðû;master_bond_USD;USD;Alfa-Bank Moscow;40701840401600000208;36MC0250000000FMB;40701840101600000207;30414810000000000911;30414840300000000911;ÈÄÓ;ÈÊ;0;1;1;1;1;OPEN;main
917181;Àëüôà Ñòðóêòóðíûé;Alfa Structure;RUB;ALFA-BANK;40701810101600000279;36MC0250000000FMB;40701810101600000279;30414810000000000911;30414840300000000911;ÈÄÓ;ÈÊ;0;1;0;1;1;OPEN;main
917183;Àëüôà Ñòðóêòóðíûé. Äîëëàðû;Alfa Structure. USD;USD;Alfa-Bank Moscow;40701840401600000208;36MC0250000000FMB;40701840101600000207;30414810000000000911;30414840300000000911;ÈÄÓ;ÈÊ;0;1;0;1;1;OPEN;main
988779;Àëüôà Ñòðóêòóðíûé 2.0;Alfa Structure 2.0;RUB;NULL;40701810101600000279;36MC0250000000FMB;40701810101600000279;30414810000000000911;30414840300000000911;ÈÄÓ;ÈÊ;0;1;0;1;1;OPEN;main
988877;Àëüôà Ñòðóêòóðíûé 2.0. Äîëëàðû;Alfa Structure 2.0 USD;USD;Alfa-Bank Moscow;40701840401600000208;36MC0250000000FMB;40701840101600000207;30414810000000000911;30414840300000000911;ÈÄÓ;ÈÊ;0;1;0;1;1;OPEN;main
1080720;Àëüôà Åâðîîáëèãàöèè 100. Äîëëàðû;eurobonds_USD_100;USD;"ÀÎ ""Àëüôà-Áàíê""";40701840401600000208;36MC0250000000FMB;40701840101600000207;30414810000000000911;30414840300000000911;ÈÄÓ;ÈÊ;0;1;1;1;1;OPEN;main
1134668;Àëüôà Îáëà÷íûå òåõíîëîãèè. Äîëëàðû;Techno. USD;USD;"ÀÎ ""Àëüôà-Áàíê""";40701840401600000208;36MC0250000000FMB;40701840101600000207;30414810000000000911;30414840300000000911;CC;PM Equities;1;0;1;1;1;OPEN;main
1250581;Àëüôà Åâðîîáëèãàöèè. Äîëëàðû 2.0;Eurobonds USD 2.0;USD;"ÀÎ ""Àëüôà-Áàíê""";40701840401600000208;36MC0250000000FMB;40701840101600000207;30414810000000000911;30414840300000000911;CC;PM Bonds;1;0;1;1;1;OPEN;main
1833257;Àëüôà Íîâûå Èìåíà;New Names;USD;"ÀÎ ""Àëüôà-Áàíê""";40701840401600000208;36MC0250000000FMB;40701840101600000207;30414810000000000911;30414840300000000911;ÈÄÓ;ÈÊ;0;1;0;1;1;OPEN;main
1877934;Àëüôà Òåõíîëîãèè 100;Techno 100;USD;"ÀÎ ""Àëüôà-Áàíê""";40701840401600000208;36MC0250000000FMB;40701840101600000207;30414810000000000911;30414840300000000911;CC;PM Equities;1;0;1;0;1;OPEN;main
2842336;Àëüôà. ÁÏÈÔ S&P 500;BPIF S&P 500;USD;"ÀÎ ""Àëüôà-Áàíê""";40701840401600000208;36MC0250000000FMB;40701840101600000207;30414810000000000911;30414840300000000911;CC;PM Equities;1;0;1;0;1;OPEN;main
6553427;Àëüôà Åâðîîáëèãàöèè. Åâðî;Eurobonds. Euro;EUR;"ÀÎ ""Àëüôà-Áàíê""";40701978001600000088;36MC0250000000FMB;40701978701600000087;30414810000000000911;30414840300000000911;CC;PM Equities;1;0;1;1;1;OPEN;main
6626171;Àëüôà Êàçíà÷åé 4.0;Kaznachei 4.0;RUB;ÀÎ «Àëüôà-Áàíê»;40701810101600000279;36MC0250000000FMB;40701810101600000279;30414810000000000911;30414840300000000911;ÈÄÓ;ÈÊ;0;1;0;0;1;OPEN;main
6805341;Àëüôà Ãëîáàëüíûå ôîíäû;Global funds;USD;"ÀÎ ""Àëüôà-Áàíê""";NULL;36MC0250000000FMB;NULL;30414810000000000911;30414840300000000911;ÈÄÓ;ÈÊ;0;1;0;1;1;OPEN;main
7082839;Àëüôà Åâðîïà 600.Åâðî;BPIF_Europe_600;EUR;"ÀÎ ""Àëüôà-Áàíê""";40701978001600000088;36MC0250000000FMB;40701978701600000087;30414810000000000911;30414840300000000911;CC;PM Equities;1;0;1;0;1;OPEN;main
7785452;Àëüôà-Ñåëåêò 3.0 Ðàíòüå. Åâðî;Afa Select 3.0 Rante. EURO;EUR;Alfa-Bank Moscow;40701978001600000088;36MC0250000000FMB;40701978701600000087;30414810000000000911;30414840300000000911;CC;DRPS;1;0;1;1;1;OPEN;main
7788720;Àëüôà-Ñåëåêò 3.0 Ðàíòüå;Afa Select 3.0 Rante;RUB;"ÀÎ ""Àëüôà-Áàíê""";40701810101600000279;36MC0250000000FMB;40701810101600000279;30414810000000000911;30414840300000000911;CC;DRPS;1;0;1;1;1;OPEN;main
7789013;Àëüôà-Ñåëåêò 3.0 Ðàíòüå. Äîëëàðû;Alfa Select 3.0 Rante. USD;USD;NULL;NULL;36MC0250000000FMB;NULL;30414810000000000911;30414840300000000911;CC;DRPS;1;0;1;1;1;OPEN;main
7789037;Àëüôà Ãàðàíò. Äîëëàðû;Alfa Garant. USD;USD;NULL;NULL;36MC0250000000FMB;NULL;30414810000000000911;30414840300000000911;CC;DRPS;1;0;1;1;0;OPEN;main
7815753;Àëüôà Áèðæåâûå ôîíäû;Alfa Stock Funds;USD;NULL;NULL;36MC0250000000FMB;NULL;30414810000000000911;30414840300000000911;ÈÄÓ;ÈÊ;0;1;0;0;1;OPEN;main
8017379;Àëüôà Çåëåíûå èíâåñòèöèè;Green investment;USD;"ÀÎ ""Àëüôà-Áàíê""";40701840401600000208;36MC0250000000FMB;40701840101600000207;30414810000000000911;30414840300000000911;CC;PM Equities;1;0;1;1;1;OPEN;main
